"Time","Metropolitan Areas","Total","Population in labour force","Employed persons","Unemployed","Population not in labour force","Did housework","Attending school","Others"
2020,"Utsunomiya Metropolitan Areas",1418979,900899,864714,36185,518080,178787,77409,261884
2020,"Utsunomiya-shi",437010,279310,268965,10345,157700,59163,23941,74596
2020,"Tochigi-shi",137045,83860,80078,3782,53185,17721,7078,28386
2020,"Kanuma-shi",82455,52300,49690,2610,30155,9916,4083,16156
2020,"Nikko-shi",69494,42740,41006,1734,26754,8422,2881,15451
2020,"Oyama-shi",142890,92797,89047,3750,50093,18261,8415,23417
2020,"Moka-shi",67170,44054,42095,1959,23116,8023,3530,11563
2020,"Ohtawara-shi",62068,40325,39118,1207,21743,6617,4241,10885
2020,"Yaita-shi",27691,16374,15610,764,11317,3342,1559,6416
2020,"Nasushiobara-shi",98640,65104,62779,2325,33536,11080,5016,17440
2020,"Sakura-shi",38304,23455,22114,1341,14849,4391,2037,8421
2020,"Nasukarasuyama-shi",22506,13175,12352,823,9331,2752,1000,5579
2020,"Shimotsuke-shi",49741,31103,29812,1291,18638,6330,3761,8547
2020,"Kaminokawa-machi",26234,17379,16774,605,8855,3230,1708,3917
2020,"Mashiko-machi",19236,12282,11864,418,6954,2212,918,3824
2020,"Motegi-machi",10883,6327,6014,313,4556,1374,427,2755
2020,"Ichikai-machi",9885,6579,6324,255,3306,1155,476,1675
2020,"Haga-machi",12961,8471,8225,246,4490,1529,651,2310
2020,"Mibu-machi",34021,20874,20136,738,13147,4159,2476,6512
2020,"Nogi-machi",21992,13073,12489,584,8919,3390,1030,4499
2020,"Shioya-machi",9439,5778,5549,229,3661,1077,383,2201
2020,"Takanezawa-machi",25410,17141,16647,494,8269,2888,1276,4105
2020,"Nakagawa-machi",13904,8398,8026,372,5506,1755,522,3229
